smiles	cid
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4cccc(N)c4cc3Cn1c2=O	72402
OC(=O)c1c2ccccc2cc2ccccc12	2201
COc1ccc2c(NC(=O)Nc3cccc(n3)C(F)(F)F)ccnc2c1	49830684
OC(=O)c1ccccc1NC(=O)N1CCC(CC1)c1ccccc1C(F)(F)F	25138295
OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(=O)N(Cc1cccc(Oc2ccccc2)c1)[C@H]1CCCc2ccccc12	9829395
CC(=O)NC1C(=O)Nc2ccccc2C(=N1)c1ccccc1	2729103
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1	76285486
Cc1cccc(NC(=O)CN2CCC(CC2)c2ccccn2)c1	10425450
Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl	11673921
CN1C[C@H]2CN(C[C@H]2C1)c1ccc(nn1)-c1ccccc1	44190553
CS(=O)(=O)Nc1c(O)ccc2C(CCCc12)=C1NCCN1	
