PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,STRING
RESULT_UNIT,,,,,,,NONE
350,17510589,3520902,Inactive,10,,,
351,17510598,135412108,Inactive,10,,,
352,17510633,12005287,Inactive,10,,,
353,17510716,135516997,Inactive,10,,,
354,17510830,208719,Inactive,10,,,
355,17510913,4373628,Inactive,10,,,
356,17510930,1674526,Inactive,10,,,
357,17511045,4644806,Inactive,10,,,
358,17511082,4086724,Inactive,10,,,
359,17511125,3598790,Inactive,10,,,
360,17511197,135517015,Inactive,10,,,
361,17511199,9616086,Inactive,10,,,
362,17511215,135419650,Inactive,10,,,
363,17511245,2928413,Inactive,10,,,
364,17511305,135517028,Inactive,10,,,
365,17511341,135420208,Inactive,10,,,
366,17511549,1962220,Inactive,10,,,
367,17511567,135433517,Inactive,10,,,
368,17511603,943384,Inactive,10,,,
369,17511619,745362,Inactive,10,,,
370,17511728,12005552,Inactive,10,,,
371,17511733,1931465,Inactive,10,,,
372,17511957,135517059,Inactive,10,,,
373,17511958,135517060,Inactive,10,,,
374,17512051,135398919,Inactive,10,,,
375,17512062,12005584,Inactive,10,,,
376,17512231,689109,Inactive,10,,,
377,17512260,4209877,Inactive,10,,,
378,17512263,3335609,Inactive,10,,,
379,17512393,12005623,Inactive,10,,,
380,17512428,135517087,Inactive,10,,,
381,17512640,135517094,Inactive,10,,,
382,17512738,3784095,Inactive,10,,,
383,17512759,1385273,Inactive,10,,,
384,17512848,135484398,Inactive,10,,,
385,17512853,5513811,Inactive,10,,,
386,17512859,1246657,Inactive,10,,,
387,17513131,135432769,Inactive,10,,,
388,17513176,1881759,Inactive,10,,,
389,17513186,135517113,Inactive,10,,,
390,17513188,1875186,Inactive,10,,,
391,17513235,135517118,Inactive,10,,,
392,17513294,3728705,Inactive,10,,,
393,17513360,6893934,Inactive,10,,,
394,17513407,135429731,Inactive,10,,,
395,17513509,12005717,Inactive,10,,,
396,17513558,1880649,Inactive,10,,,
397,17513579,135435853,Inactive,10,,,
398,17513809,4017415,Inactive,10,,,
399,17513816,1050416,Inactive,10,,,
400,17513878,135517143,Inactive,10,,,
401,17514157,12005778,Inactive,10,,,
402,17514206,6535755,Inactive,10,,,
403,17514266,12005792,Inactive,10,,,
404,17514461,135517162,Inactive,10,,,
405,17514500,135517165,Inactive,10,,,
406,17514512,135517166,Inactive,10,,,
407,17514518,4549057,Inactive,10,,,
408,17514658,7197384,Inactive,10,,,
409,17514747,135517174,Inactive,10,,,
410,17514765,4124689,Inactive,10,,,
411,17514909,12005916,Inactive,10,,,
412,17515198,7197203,Inactive,10,,,
413,17515710,12006123,Inactive,10,,,
414,17515812,12006154,Inactive,10,,,
415,17515904,2125655,Inactive,10,,,
416,17516153,6907378,Inactive,10,,,
417,17516440,6861231,Inactive,10,,,
418,17516552,2527791,Inactive,10,,,
419,17516706,2082775,Inactive,10,,,
420,17516957,2434351,Inactive,10,,,
421,17517081,6905459,Inactive,10,,,
422,17517206,2378329,Inactive,10,,,
423,17517229,2337386,Inactive,10,,,
424,22400550,135521417,Inactive,10,,,
425,22400569,135470005,Inactive,10,,,
426,22400629,15944702,Inactive,10,,,
427,22400975,5691857,Inactive,10,,,
428,22401077,15944741,Inactive,10,,,
429,22401151,2089376,Inactive,10,,,
430,22401183,135469942,Inactive,10,,,
431,22401212,6211931,Inactive,10,,,
432,22401215,135521442,Inactive,10,,,
433,22401225,2715724,Inactive,10,,,
434,22401308,135420789,Inactive,10,,,
435,22401382,135521467,Inactive,10,,,
436,22401452,15944772,Inactive,10,,,
437,22401489,9622660,Inactive,10,,,
438,22401588,2517431,Inactive,10,,,
439,22401628,2490950,Inactive,10,,,
440,22401751,135451196,Inactive,10,,,
441,22401770,1881906,Inactive,10,,,
442,22401834,1226102,Inactive,10,,,
443,22402309,5431360,Inactive,10,,,
444,22402611,135432786,Inactive,10,,,
445,22402614,6877639,Inactive,10,,,
446,22402719,4266964,Inactive,10,,,
447,22402782,5197190,Inactive,10,,,
448,22402995,135521556,Inactive,10,,,
449,22403046,135521558,Inactive,10,,,
450,22403075,2444028,Inactive,10,,,
451,22403142,5346075,Inactive,10,,,
452,22403150,2283998,Inactive,10,,,
453,22403275,1338834,Inactive,10,,,
454,22403335,2265051,Inactive,10,,,
455,22403430,3431552,Inactive,10,,,
456,22403510,883858,Inactive,10,,,
457,22403629,2338293,Inactive,10,,,
458,22403691,15944957,Inactive,10,,,
459,22403740,2916324,Inactive,10,,,
460,22403754,2900185,Inactive,10,,,
461,22403846,4182232,Inactive,10,,,
462,22404193,883587,Inactive,10,,,
463,22404209,2903046,Inactive,10,,,
464,22404294,1229795,Inactive,10,,,
465,22404340,9613462,Inactive,10,,,
466,22404364,12414022,Inactive,10,,,
467,22404538,6872805,Inactive,10,,,
468,22404590,2305909,Inactive,10,,,
469,22404670,1791940,Inactive,10,,,
470,22404851,4234437,Inactive,10,,,
471,22404857,2500386,Inactive,10,,,
472,22404858,2496360,Inactive,10,,,
473,22405244,3329238,Inactive,10,,,
474,22405324,7314608,Inactive,10,,,
475,22405334,7314662,Inactive,10,,,
476,22405384,54687288,Inactive,10,,,
477,22405522,15945066,Inactive,10,,,
478,22405683,4840954,Inactive,10,,,
479,22405855,5400585,Inactive,10,,,
480,22405952,135466091,Inactive,10,,,
481,22406181,2344311,Inactive,10,,,
482,22406359,15945137,Inactive,10,,,
483,22406499,2677570,Inactive,10,,,
484,22406592,3431872,Inactive,10,,,
485,22406686,9625660,Inactive,10,,,
486,22406756,135466207,Inactive,10,,,
487,22406874,2671703,Inactive,10,,,
488,22406884,5398550,Inactive,10,,,
489,22406886,135481361,Inactive,10,,,
490,22406910,775147,Inactive,10,,,
491,22406963,2537516,Inactive,10,,,
492,22407344,764061,Inactive,10,,,
493,22407391,4548579,Inactive,10,,,
494,22407722,4036201,Inactive,10,,,
495,22407859,2622645,Inactive,10,,,
496,22408045,2122189,Inactive,10,,,
497,22408146,9644974,Inactive,10,,,
498,22408493,2411191,Inactive,10,,,
499,22409515,5207024,Inactive,10,,,
500,22409525,2405293,Inactive,10,,,
501,22409736,135521623,Inactive,10,,,
