smile,training_smile,hit,similarity
Oc1ccnc(S)n1,CCSC1=NC(=CC(=O)N1)O,0,0.4375
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)[C@@H]2O,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C)O,0,0.7937219730941704
CC1(C)C2CC1[C@](C)(O)[C@H](O)C2,C[C@]12CC[C@H]([C@@]([C@@H]1CC[C@@H]3[C@@]24CC[C@@]([C@H](C3)C4)(CO)O)(C)CO)O,0,0.6736842105263158
OCCNCCCOc1cccc(Cl)c1Cl,CCCCNCCCOC1=C(C(=CC=C1)Cl)Cl,0,0.9498327759197325
[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O,C1=CC=C(C=C1)NC(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-],0,0.5977011494252874
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,C1=CC(=C(C=C1[N+](=O)[O-])N)O,0,0.8222996515679443
OCc1ccc(CO)o1,CCCCSCC1=CC=C(O1)C(=O)O,0,0.33147632311977715
CC1CCCC(C)N1,C1CCC(CC1)NCCC(=O)O,0,0.4318181818181818
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(O)nc(N)nc12,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=NC2=S)N,0,0.7865168539325843
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc12,C1CCC(C1)NC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,0,0.890625
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]12C,C[C@]12CCC3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O,0,1.0
Cc1ccc(cc1)\C=C1\C2CCC(C)(C1=O)C2(C)C,CC\1C2CC(C2(C)C)C(=O)/C1=C/C3=CC=C(C=C3)Cl,0,0.7899461400359067
CN1C2CCC1CC(C2)OC(c1ccc(F)cc1)c1ccc(F)cc1,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,0,0.878095238095238
